subject	model	mask	nvoxels	r
03	Von Mises	V1	0	0.23052119740737778
03	Von Mises	V1	50	0.17313450473254768
03	Von Mises	V1	100	-0.0058591181328337925
03	Von Mises	V1	250	0.13321249343851044
03	Von Mises	V1	500	0.13449610771055573
03	Von Mises	NPCr	0	-0.030581563430651947
03	Von Mises	NPCr	50	-0.11688153936078075
03	Von Mises	NPCr	100	-0.23593254984480605
03	Von Mises	NPCr	250	-0.06694045837776906
03	Von Mises	NPCr	500	-0.07009905339784485
03	Linear	V1	0	0.2389166238262683
03	Linear	V1	50	0.10289619644536745
03	Linear	V1	100	0.10858951968346867
03	Linear	V1	250	0.08940294734597169
03	Linear	V1	500	0.08393258129127121
03	Linear	NPCr	0	0.09142976908683008
03	Linear	NPCr	50	-0.0031007851598173243
03	Linear	NPCr	100	-0.08825693079922863
03	Linear	NPCr	250	-0.02110551012746386
03	Linear	NPCr	500	-0.0003106523584274351
04	Von Mises	V1	0	0.12049767390362522
04	Von Mises	V1	50	0.05916756096887873
04	Von Mises	V1	100	-0.07331271250630716
04	Von Mises	V1	250	0.12682921642623393
04	Von Mises	V1	500	0.09964667346787942
04	Von Mises	NPCr	0	0.07690340026452017
04	Von Mises	NPCr	50	0.05695442656548256
04	Von Mises	NPCr	100	0.1833832816953977
04	Von Mises	NPCr	250	0.01052611983243485
04	Von Mises	NPCr	500	0.04080093188639003
04	Linear	V1	0	0.10523511663862598
04	Linear	V1	50	0.13750604700156777
04	Linear	V1	100	0.28612239827642616
04	Linear	V1	250	0.1562169634685189
04	Linear	V1	500	0.08041592291216888
04	Linear	NPCr	0	0.17870401762259489
04	Linear	NPCr	50	0.15363407568864246
04	Linear	NPCr	100	0.08290125435549484
04	Linear	NPCr	250	0.06898268958422693
04	Linear	NPCr	500	0.060764458571640645
05	Von Mises	V1	0	0.2990408473713765
05	Von Mises	V1	50	0.41001350201837905
05	Von Mises	V1	100	0.3597462894040722
05	Von Mises	V1	250	0.4720318719294103
05	Von Mises	V1	500	0.5244022707579514
05	Von Mises	NPCr	0	0.13885364147752943
05	Von Mises	NPCr	50	0.12693292639768608
05	Von Mises	NPCr	100	0.05209532598922744
05	Von Mises	NPCr	250	0.11449411962517281
05	Von Mises	NPCr	500	0.08018520971724577
05	Linear	V1	0	0.2480262173512341
05	Linear	V1	50	0.30173973359917916
05	Linear	V1	100	0.31396780187449724
05	Linear	V1	250	0.4116991943652841
05	Linear	V1	500	0.44858008032670194
05	Linear	NPCr	0	0.005960538729607628
05	Linear	NPCr	50	0.07573474585007584
05	Linear	NPCr	100	0.019117082151313095
05	Linear	NPCr	250	0.015196730263670188
05	Linear	NPCr	500	0.12079037909540855
06	Von Mises	V1	0	0.4170334787588907
06	Von Mises	V1	50	0.32344240888111
06	Von Mises	V1	100	0.17482966514787054
06	Von Mises	V1	250	0.4505125365862746
06	Von Mises	V1	500	0.535588710114611
06	Von Mises	NPCr	0	0.19622228716338339
06	Von Mises	NPCr	50	0.232258638909555
06	Von Mises	NPCr	100	0.2066985114208731
06	Von Mises	NPCr	250	0.2689717952368277
06	Von Mises	NPCr	500	0.3036243739342578
06	Linear	V1	0	0.4742340658077713
06	Linear	V1	50	0.491209472241662
06	Linear	V1	100	0.4248227982144824
06	Linear	V1	250	0.4281590644802712
06	Linear	V1	500	0.361252182469734
06	Linear	NPCr	0	0.2673510593400238
06	Linear	NPCr	50	0.07281607290941683
06	Linear	NPCr	100	-0.054710595457364605
06	Linear	NPCr	250	-0.0698605645126923
06	Linear	NPCr	500	-0.052949428257114343
07	Von Mises	V1	0	0.13074172178646432
07	Von Mises	V1	50	0.1440758684998173
07	Von Mises	V1	100	0.08117061812364944
07	Von Mises	V1	250	-0.10712257015860602
07	Von Mises	V1	500	-0.09556015773921683
07	Von Mises	NPCr	0	0.12373762916277807
07	Von Mises	NPCr	50	0.12743743525346554
07	Von Mises	NPCr	100	0.035649166827962445
07	Von Mises	NPCr	250	0.014732304433012919
07	Von Mises	NPCr	500	0.10062414366402486
07	Linear	V1	0	0.2472864153541056
07	Linear	V1	50	0.2623414215360751
07	Linear	V1	100	0.21011270876526944
07	Linear	V1	250	0.27158395617430375
07	Linear	V1	500	0.28355567762168465
07	Linear	NPCr	0	0.1448218629984007
07	Linear	NPCr	50	0.0654175587401069
07	Linear	NPCr	100	0.08174016503953163
07	Linear	NPCr	250	0.10868678664210464
07	Linear	NPCr	500	0.06933270352326323
08	Von Mises	V1	0	0.16563270227354546
08	Von Mises	V1	50	0.26244800686560943
08	Von Mises	V1	100	-0.016737215009000144
08	Von Mises	V1	250	0.1924679872761937
08	Von Mises	V1	500	0.14386192342256962
08	Von Mises	NPCr	0	0.03037093970633803
08	Von Mises	NPCr	50	0.04451335845276686
08	Von Mises	NPCr	100	0.12379281199997583
08	Von Mises	NPCr	250	0.061658938446891465
08	Von Mises	NPCr	500	0.0414142915531303
08	Linear	V1	0	0.08560112498290812
08	Linear	V1	50	0.14026953531296193
08	Linear	V1	100	0.1262157107745601
08	Linear	V1	250	-0.0059953735914474796
08	Linear	V1	500	0.003248878531044594
08	Linear	NPCr	0	0.09403295771367873
08	Linear	NPCr	50	0.16070033349512447
08	Linear	NPCr	100	0.09892235618226156
08	Linear	NPCr	250	0.0951896328751731
08	Linear	NPCr	500	0.0577986390268526
09	Von Mises	V1	0	0.21196965335513862
09	Von Mises	V1	50	0.12049396247531094
09	Von Mises	V1	100	0.2726728312724672
09	Von Mises	V1	250	0.4338956712709051
09	Von Mises	V1	500	0.5809900823887397
09	Von Mises	NPCr	0	0.1683790047168891
09	Von Mises	NPCr	50	0.1045485039923958
09	Von Mises	NPCr	100	0.17188799735007487
09	Von Mises	NPCr	250	0.24209033103476846
09	Von Mises	NPCr	500	0.23506087042743748
09	Linear	V1	0	0.12008693149149094
09	Linear	V1	50	0.20155349590296776
09	Linear	V1	100	0.18048286000431601
09	Linear	V1	250	0.1742877496242401
09	Linear	V1	500	0.2132378388198364
09	Linear	NPCr	0	0.1850936861278506
09	Linear	NPCr	50	0.07350964151111919
09	Linear	NPCr	100	0.009879376328064498
09	Linear	NPCr	250	0.023547094518886556
09	Linear	NPCr	500	0.02286438660340965
10	Von Mises	V1	0	-0.12149516618478753
10	Von Mises	V1	50	-0.2660189650224659
10	Von Mises	V1	100	-0.20359543402402633
10	Von Mises	V1	250	-0.37093279560453685
10	Von Mises	V1	500	-0.33633123824088673
10	Von Mises	NPCr	0	0.1639790736555096
10	Von Mises	NPCr	50	0.08875043586252934
10	Von Mises	NPCr	100	0.05881558796206877
10	Von Mises	NPCr	250	-0.014996177640058839
10	Von Mises	NPCr	500	0.10143079233194635
10	Linear	V1	0	0.025887039170678847
10	Linear	V1	50	0.05378243762778355
10	Linear	V1	100	-0.04436360674384017
10	Linear	V1	250	-0.07419701819179632
10	Linear	V1	500	-0.0029545868696203015
10	Linear	NPCr	0	0.15454958790125023
10	Linear	NPCr	50	0.06604759392148776
10	Linear	NPCr	100	0.09809270703252548
10	Linear	NPCr	250	0.010257927883932316
10	Linear	NPCr	500	-0.01596704290889578
11	Von Mises	V1	0	0.5040703405091803
11	Von Mises	V1	50	0.44489711380515984
11	Von Mises	V1	100	0.5669880344055966
11	Von Mises	V1	250	0.6665962768676641
11	Von Mises	V1	500	0.6522905792403457
11	Von Mises	NPCr	0	0.08572161860458084
11	Von Mises	NPCr	50	0.0376942891399558
11	Von Mises	NPCr	100	0.09721630049781596
11	Von Mises	NPCr	250	0.1517295241675796
11	Von Mises	NPCr	500	0.13177775361847846
