session	run	trial_nr	true_value_chf	decoded_mean	error	condition	subject	model	mask
1	1	1	22.5	28.342675344035595	5.8426753440355945	inverse_cdf	03	PRF	V1
1	1	2	20.0	17.168257403255893	-2.8317425967441068	inverse_cdf	03	PRF	V1
1	1	3	18.5	21.60262880781459	3.1026288078145896	inverse_cdf	03	PRF	V1
1	1	4	11.5	6.119404986525543	-5.380595013474457	inverse_cdf	03	PRF	V1
1	1	5	40.0	32.44450675780695	-7.555493242193052	inverse_cdf	03	PRF	V1
1	1	6	7.5	10.70273044496198	3.202730444961979	inverse_cdf	03	PRF	V1
1	1	7	28.0	25.665436965400154	-2.334563034599846	inverse_cdf	03	PRF	V1
1	1	8	39.0	35.7774372457836	-3.2225627542163977	inverse_cdf	03	PRF	V1
1	1	9	21.5	23.714724174676615	2.214724174676615	inverse_cdf	03	PRF	V1
1	1	10	2.5	8.248411429027776	5.748411429027776	inverse_cdf	03	PRF	V1
1	1	11	16.0	8.313879432117886	-7.686120567882114	inverse_cdf	03	PRF	V1
1	1	12	36.5	29.480045968583354	-7.0199540314166455	inverse_cdf	03	PRF	V1
1	1	13	4.0	12.845580326324207	8.845580326324207	inverse_cdf	03	PRF	V1
1	1	14	3.0	4.026428291918928	1.0264282919189283	inverse_cdf	03	PRF	V1
1	1	15	23.0	19.911138633070397	-3.088861366929603	inverse_cdf	03	PRF	V1
1	1	16	32.5	23.630954738313964	-8.869045261686036	inverse_cdf	03	PRF	V1
1	1	17	25.5	2.5136479524658544	-22.986352047534147	inverse_cdf	03	PRF	V1
1	1	18	24.0	4.004370827116863	-19.995629172883138	inverse_cdf	03	PRF	V1
1	1	19	22.0	20.541203282310054	-1.4587967176899461	inverse_cdf	03	PRF	V1
1	1	20	21.0	17.211972940319882	-3.788027059680118	inverse_cdf	03	PRF	V1
1	1	21	41.5	36.52830808514506	-4.971691914854937	inverse_cdf	03	PRF	V1
1	1	22	5.0	2.7971749429689416	-2.2028250570310584	inverse_cdf	03	PRF	V1
1	1	23	41.0	31.536843824007935	-9.463156175992065	inverse_cdf	03	PRF	V1
1	2	24	4.0	19.14759672266057	15.14759672266057	inverse_cdf	03	PRF	V1
1	2	25	22.0	19.889400624744912	-2.110599375255088	inverse_cdf	03	PRF	V1
1	2	26	25.5	32.3006351245811	6.800635124581099	inverse_cdf	03	PRF	V1
1	2	27	39.0	29.31796559640251	-9.682034403597491	inverse_cdf	03	PRF	V1
1	2	28	18.5	2.584672187358485	-15.915327812641515	inverse_cdf	03	PRF	V1
1	2	29	2.5	3.3888022264660647	0.8888022264660647	inverse_cdf	03	PRF	V1
1	2	30	41.0	34.07996298047637	-6.920037019523633	inverse_cdf	03	PRF	V1
1	2	31	21.0	15.514738919606906	-5.485261080393094	inverse_cdf	03	PRF	V1
1	2	32	40.0	2.675594029213234	-37.32440597078676	inverse_cdf	03	PRF	V1
1	2	33	32.5	17.674944081500602	-14.825055918499398	inverse_cdf	03	PRF	V1
1	2	34	24.0	21.84367365166675	-2.1563263483332484	inverse_cdf	03	PRF	V1
1	2	35	23.0	29.703310981144213	6.703310981144213	inverse_cdf	03	PRF	V1
1	2	36	7.5	15.711273892714631	8.211273892714631	inverse_cdf	03	PRF	V1
1	2	37	5.0	31.5281245336087	26.5281245336087	inverse_cdf	03	PRF	V1
1	2	38	22.5	26.898324924327582	4.398324924327582	inverse_cdf	03	PRF	V1
1	2	39	20.0	20.721479914886455	0.721479914886455	inverse_cdf	03	PRF	V1
1	2	40	28.0	37.28359219077628	9.283592190776282	inverse_cdf	03	PRF	V1
1	2	41	21.5	19.36314438292137	-2.1368556170786306	inverse_cdf	03	PRF	V1
1	2	42	11.5	7.005682926768538	-4.494317073231462	inverse_cdf	03	PRF	V1
1	2	43	36.5	38.773095474383325	2.273095474383325	inverse_cdf	03	PRF	V1
1	2	44	41.5	21.2205546613781	-20.2794453386219	inverse_cdf	03	PRF	V1
1	2	45	3.0	38.53649440465786	35.53649440465786	inverse_cdf	03	PRF	V1
1	2	46	16.0	19.36915474378436	3.3691547437843603	inverse_cdf	03	PRF	V1
1	3	47	32.5	18.6293784798463	-13.870621520153701	inverse_cdf	03	PRF	V1
1	3	48	41.0	20.53656213908783	-20.46343786091217	inverse_cdf	03	PRF	V1
1	3	49	25.5	21.509998719345315	-3.9900012806546847	inverse_cdf	03	PRF	V1
1	3	50	21.0	5.136117888766041	-15.86388211123396	inverse_cdf	03	PRF	V1
1	3	51	28.0	19.587004121817955	-8.412995878182045	inverse_cdf	03	PRF	V1
1	3	52	3.0	2.593359380182849	-0.40664061981715083	inverse_cdf	03	PRF	V1
1	3	53	4.0	3.2666583804322227	-0.7333416195677773	inverse_cdf	03	PRF	V1
1	3	54	21.5	27.654515440968442	6.154515440968442	inverse_cdf	03	PRF	V1
1	3	55	24.0	18.5601152219825	-5.4398847780175	inverse_cdf	03	PRF	V1
1	3	56	11.5	10.078494642691583	-1.4215053573084173	inverse_cdf	03	PRF	V1
1	3	57	41.5	40.71334141034282	-0.7866585896571792	inverse_cdf	03	PRF	V1
1	3	58	5.0	4.035614954811949	-0.9643850451880507	inverse_cdf	03	PRF	V1
1	3	59	22.0	20.414136115610823	-1.5858638843891768	inverse_cdf	03	PRF	V1
1	3	60	16.0	9.698227094041785	-6.301772905958215	inverse_cdf	03	PRF	V1
1	3	61	20.0	26.522993511281065	6.522993511281065	inverse_cdf	03	PRF	V1
1	3	62	39.0	28.39709963354321	-10.60290036645679	inverse_cdf	03	PRF	V1
1	3	63	40.0	20.935863838127457	-19.064136161872543	inverse_cdf	03	PRF	V1
1	3	64	22.5	15.13004881231298	-7.36995118768702	inverse_cdf	03	PRF	V1
1	3	65	36.5	38.681141885562845	2.1811418855628446	inverse_cdf	03	PRF	V1
1	3	66	18.5	16.159225835348202	-2.3407741646517977	inverse_cdf	03	PRF	V1
1	3	67	7.5	2.6343709536220614	-4.865629046377938	inverse_cdf	03	PRF	V1
1	3	68	23.0	27.62693459104399	4.626934591043991	inverse_cdf	03	PRF	V1
1	3	69	2.5	2.6064492621981885	0.10644926219818851	inverse_cdf	03	PRF	V1
1	4	70	20.0	20.292745879645356	0.2927458796453557	inverse_cdf	03	PRF	V1
1	4	71	18.5	19.606033112638755	1.1060331126387553	inverse_cdf	03	PRF	V1
1	4	72	25.5	33.16121481177747	7.661214811777469	inverse_cdf	03	PRF	V1
1	4	73	22.5	21.987167441126918	-0.5128325588730824	inverse_cdf	03	PRF	V1
1	4	74	41.0	26.81104991550145	-14.18895008449855	inverse_cdf	03	PRF	V1
