value	analytical_gauss	analytical_t_dof5	mc_gauss_n200	mc_gauss_n1000	mc_t_dof5_n200
9.454774	22.16902	21.754644	24.083258	21.889757	23.017006
9.703518	20.783503	20.395025	21.860458	20.62834	21.494263
9.952261	19.67488	19.307123	19.832184	19.73527	20.153002
10.201005	18.939785	18.58577	18.205015	19.264753	19.129824
10.449749	18.527287	18.180983	17.030077	19.114302	18.402702
10.698492	18.293495	17.951561	16.244905	19.090637	17.840942
10.947236	18.090504	17.752363	15.755806	19.007835	17.29688
11.19598	17.842514	17.509008	15.511799	18.768778	16.690222
11.444724	17.570671	17.242247	15.528613	18.391293	16.043486
11.693467	17.354584	17.0302	15.848894	17.96812	15.452923
11.942211	17.253471	16.930977	16.46276	17.585077	15.013741
12.190955	17.238066	16.91586	17.243313	17.249239	14.746182
12.439698	17.18384	16.862646	17.95131	16.877455	14.57131
12.688442	16.939085	16.622467	18.322718	16.358337	14.355181
12.937186	16.4269	16.119856	18.193687	15.647268	13.993138
13.185929	15.70994	15.416296	17.584246	14.825056	13.476406
13.434673	14.968632	14.688844	16.684414	14.073061	12.895696
13.683417	14.403544	14.134319	15.75075	13.576879	12.381617
13.93216	14.124737	13.860723	14.978733	13.420872	12.024792
14.180904	14.096696	13.833206	14.425947	13.540259	11.827751
14.429648	14.166295	13.9015045	14.020334	13.755762	11.713637
14.678392	14.148006	13.883557	13.632583	13.863203	11.577688
14.927135	13.91222	13.652179	13.160023	13.723353	11.344975
15.1758795	13.431759	13.180697	12.575857	13.307498	11.002219
15.4246235	12.773524	12.534767	11.927957	12.686717	10.593184
15.673367	12.052753	11.827468	11.301704	11.9834175	10.188776
15.922111	11.379795	11.1670885	10.774578	11.315788	9.852185
16.170855	10.823562	10.621252	10.3853855	10.759689	9.615768
16.419598	10.400783	10.206375	10.126869	10.337114	9.475752
16.668343	10.086431	9.897899	9.957412	10.026434	9.401331
16.917086	9.834343	9.650523	9.821366	9.783205	9.350226
17.165829	9.597202	9.417815	9.667866	9.560503	9.283031
17.414574	9.339676	9.165102	9.462423	9.322438	9.17211
17.663317	9.043236	8.874204	9.190195	9.049332	9.004211
17.91206	8.704558	8.541856	8.853059	8.736393	8.778438
18.160805	8.330611	8.174899	8.463684	8.389026	8.501957
18.409548	7.9332185	7.784934	8.039368	8.017556	8.185598
18.65829	7.524787	7.3841367	7.5973315	7.633071	7.8405213
18.907036	7.1158657	6.9828587	7.1520705	7.2450414	7.476443
19.155779	6.7143826	6.58888	6.7145424	6.860602	7.101195
19.404522	6.3259997	6.2077565	6.292593	6.484921	6.7211514
19.653267	5.9550796	5.8437696	5.8920717	6.122172	6.3420897
19.90201	5.6057615	5.500981	5.5180836	5.776611	5.9700947
20.150753	5.2828546	5.1841097	5.176063	5.4534593	5.6122313
20.399498	4.9924407	4.899124	4.872531	5.1595025	5.2769456
20.648241	4.7421336	4.653496	4.615498	4.9033256	4.974129
20.896984	4.5409794	4.4561014	4.414438	4.695182	4.7148137
21.14573	4.399089	4.316863	4.279965	4.546563	4.5106153
21.394472	4.32698	4.246102	4.223173	4.4694705	4.3729024
21.643215	4.334717	4.253694	4.2547235	4.4754524	4.311763
21.89196	4.430896	4.3480754	4.3837337	4.5744805	4.3348913
22.140703	4.621562	4.5351777	4.616558	4.7737556	4.44649
22.389448	4.9091625	4.8174024	4.9555645	5.0765615	4.646327
22.638191	5.2916384	5.192729	5.398008	5.4812713	4.9291034
22.886934	5.7617817	5.6540847	5.935154	5.9806657	5.2842555
23.13568	6.3069496	6.1890626	6.5517406	6.561612	5.6962647
23.384422	6.9091625	6.7800193	7.225861	7.2051806	6.1454735
23.633165	7.5457683	7.4047256	7.9294767	7.8873124	6.6094465
23.88191	8.190569	8.037474	8.629534	8.579977	7.0647044
24.130653	8.815485	8.650709	9.289796	9.252837	7.4887395
24.379396	9.39279	9.217223	9.873482	9.875492	7.862168
24.628141	9.897612	9.712609	10.346431	10.419969	8.170719
24.876884	10.310617	10.117895	10.680674	10.86341	8.406818
25.125628	10.620436	10.421923	10.857964	11.190541	8.570451
25.374372	10.825494	10.623148	10.872856	11.395626	8.669054
25.623116	10.935032	10.7306385	10.735105	11.483749	8.716515
25.871859	10.969562	10.764523	10.471501	11.471702	8.731872
26.120604	10.961344	10.756458	10.127561	11.38909	8.73892
26.369347	10.955413	10.750639	9.76922	11.2801485	8.767869
26.61809	11.010578	10.804772	9.483358	11.205471	8.859047
26.866835	11.197105	10.987814	9.373409	11.240102	9.065614
27.115578	11.585608	11.369054	9.544385	11.462276	9.449218
27.36432	12.222935	11.994469	10.073347	11.92836	10.06266
27.613066	13.098854	12.854015	10.969796	12.638059	10.920427
27.861809	14.120014	13.856089	12.143194	13.506956	11.970162
28.110552	15.115894	14.833354	13.4031515	14.371817	13.0874195
28.359297	15.89258	15.595522	14.509771	15.045067	14.110695
28.60804	16.321983	16.0169	15.264609	15.405789	14.9101095
28.856785	16.42197	16.115017	15.601035	15.481546	15.454743
29.105528	16.373024	16.066986	15.620615	15.46495	15.832912
29.35427	16.44651	16.1391	15.546549	15.638776	16.203049
29.603016	16.873163	16.557777	15.613381	16.238699	16.697224
29.851759	17.721973	17.390722	15.952456	17.325926	17.333652
30.100502	18.857042	18.504574	16.534885	18.740824	17.991768
30.349247	19.993908	19.62019	17.197233	20.161541	18.46391
30.59799	20.820324	20.431158	17.726748	21.232973	18.551802
30.846733	21.116346	20.721647	17.955273	21.69831	18.153603
31.095478	20.819906	20.430748	17.817192	21.475046	17.300692
31.344221	20.021526	19.647291	17.355429	20.655035	16.136768
31.592964	18.90818	18.554756	16.688227	19.44684	14.860968
31.84171	17.692102	17.361408	15.961967	18.096985	13.6667795
32.090454	16.55439	16.244963	15.311448	16.823097	12.699776
32.339195	15.616352	15.324457	14.83687	15.775482	12.0411625
32.58794	14.936214	14.657033	14.596333	15.027566	11.711784
32.836685	14.521212	14.249787	14.607865	14.586457	11.686536
33.085426	14.344277	14.0761595	14.855256	14.412414	11.91046
33.33417	14.358519	14.090135	15.29447	14.438869	12.312102
33.582916	14.506793	14.235638	15.859675	14.588375	12.812952
33.831657	14.726797	14.4515295	16.469452	14.783119	13.333853
34.080402	14.953817	14.674307	17.033924	14.951062	13.79974
34.329147	15.1234	14.840719	17.463192	15.029488	14.143847
34.57789	15.175531	14.891876	17.677074	14.96784	14.31203
34.826633	15.060525	14.779019	17.614937	14.730703	14.267046
35.07538	14.745701	14.47008	17.244183	14.300983	13.992256
35.32412	14.221014	13.9552	16.565527	13.682246	13.493728
35.572865	13.501799	13.249429	15.613604	12.899073	12.799865
35.82161	12.627509	12.39148	14.452554	11.994668	11.958187
36.07035	11.656206	11.438333	13.166998	11.025467	11.029377
36.319096	10.655815	10.456641	11.850022	10.053541	10.079432
36.56784	9.694099	9.512901	10.590664	9.138331	9.171427
36.81658	8.829153	8.664122	9.462844	8.329044	8.358116
37.065327	8.102282	7.950837	8.517653	7.6591835	7.676596
37.31407	7.5344634	7.3936324	7.780142	7.1441274	7.14588
37.562813	7.1263113	6.993109	7.250192	6.781541	6.7671747
37.811558	6.861237	6.73299	6.9069715	6.5544014	6.5266266
38.060303	6.710591	6.5851593	6.7154474	6.4355273	6.399568
38.309044	6.639571	6.515467	6.633536	6.3926587	6.355349
38.55779	6.6127257	6.4891233	6.6185718	6.3931074	6.3618846
38.806534	6.59831	6.474977	6.632289	6.4074187	6.389341
39.055275	6.5710235	6.4482007	6.6438684	6.4116764	6.4125867
39.30402	6.5131817	6.39144	6.6311574	6.3885255	6.4124627
39.552765	6.4145446	6.2946463	6.5803795	6.3270907	6.375979
39.801506	6.271254	6.154034	6.4848866	6.2221737	6.2957807
40.05025	6.084304	5.9705787	6.3434353	6.073061	6.169194
40.298996	5.857932	5.748438	6.1584435	5.882242	5.997114
40.547737	5.5981827	5.4935436	5.9344783	5.6542454	5.782938
40.796482	5.3118057	5.2125196	5.677129	5.394706	5.53168
41.045227	5.005532	4.9119706	5.3923073	5.109715	5.249295
41.29397	4.685649	4.598067	5.0858517	4.8053904	4.942189
41.542713	4.3578005	4.276346	4.7633367	4.4876065	4.6168633
41.79146	4.027008	3.951737	4.430098	4.161908	4.2797284
42.0402	3.6976945	3.6285787	4.09121	3.8334315	3.936917
42.288944	3.3737514	3.3106906	3.7514892	3.5068648	3.59415
42.53769	3.058614	3.0014436	3.4154925	3.186442	3.256654
42.78643	2.7552764	2.703776	3.0874321	2.8759	2.929051
43.035175	2.466273	2.4201746	2.7710748	2.5784264	2.6152663
43.28392	2.1936927	2.152689	2.4696789	2.2966533	2.3185039
43.53266	1.9391375	1.9028919	2.1858976	2.032619	2.0411975
43.781406	1.7037067	1.6718618	1.9217206	1.787756	1.7850144
44.03015	1.4880221	1.4602085	1.6784805	1.5629311	1.5509106
44.278896	1.2922375	1.2680836	1.4568622	1.3584692	1.3391829
44.527637	1.1160883	1.0952268	1.2569603	1.1742176	1.1495583
44.776382	0.9589416	0.94101745	1.0783467	1.0096074	0.9812857
45.025127	0.81987333	0.80454856	0.92017525	0.86374485	0.8332497
45.27387	0.6977418	0.6846999	0.78128004	0.73549145	0.70407367
45.522614	0.5912429	0.5801916	0.6602559	0.62352747	0.59219986
45.77136	0.4989947	0.4896677	0.55556715	0.52644163	0.49599135
46.0201	0.41958338	0.4117407	0.4656143	0.44278228	0.4137919
46.268845	0.35160822	0.3450361	0.3887942	0.371105	0.3439777
46.51759	0.29372644	0.28823623	0.32355854	0.31001985	0.2850079
46.76633	0.24467464	0.24010128	0.26844484	0.25821567	0.23544747
47.015076	0.20328344	0.19948375	0.2220965	0.21447547	0.193982
47.26382	0.16849397	0.16534455	0.18328403	0.17769432	0.15943246
47.51256	0.13935679	0.136752	0.15090556	0.14687933	0.13075207
47.761307	0.115030274	0.11288017	0.12398579	0.12114822	0.10702196
48.01005	0.09477846	0.0930069	0.1016732	0.0997277	0.087446176
48.258793	0.077962175	0.07650494	0.08323029	0.08194484	0.07134015
48.507538	0.06403045	0.06283362	0.06802309	0.06721838	0.058119517
48.756283	0.052512728	0.05153118	0.05551205	0.055051032	0.047290124
49.005024	0.043008707	0.042204805	0.045239776	0.045018997	0.038435716
49.25377	0.0351796	0.034522038	0.036820784	0.036763176	0.031207692
49.502514	0.028740559	0.028203351	0.029932262	0.029981187	0.02531588
49.751255	0.023452595	0.023014229	0.024304653	0.024419151	0.020519426
50.0	0.019115735	0.018758431	0.019713439	0.019864473	0.016618965
