subject	condition	n_trials	mean_abs_error	sd_response	sd_error	rmse
1	cdf	174	0.632183908045977	10.696637491179171	0.9495268413847668	0.9634110854356149
1	inverse_cdf	168	1.4464285714285714	12.798301219873983	2.364460993815418	2.3641670233479095
2	cdf	182	1.2774725274725274	10.392771106667135	1.703504068842065	1.7513730876965343
2	inverse_cdf	177	1.8022598870056497	11.507716226197145	2.587679835027532	2.583629470906742
3	cdf	162	1.787037037037037	10.98460592668057	2.7048129249781585	2.8177677006479462
3	inverse_cdf	160	2.546875	12.006251237972167	3.3945696900348272	3.4239505691525394
4	cdf	154	0.7987012987012987	10.071970133911533	1.230173379137391	1.2300353706243625
4	inverse_cdf	174	1.4454022988505748	12.300664956883546	2.422996882532993	2.432715241921229
5	cdf	182	0.5247252747252747	10.49922443802456	0.8493328798777773	0.8524367141602663
5	inverse_cdf	176	1.2840909090909092	12.221343037872337	2.1066992709406387	2.1085593961927485
6	cdf	163	0.8312883435582822	10.839470933673008	1.228688663270917	1.2341013471224012
6	inverse_cdf	172	1.1046511627906976	12.525305203221059	1.9062856366768783	1.9039432764659772
7	cdf	171	0.7602339181286549	10.224545528743556	1.0203131243344008	1.1055415967851334
7	inverse_cdf	176	4.176136363636363	10.639209749361513	3.2758066320998087	5.181917861880168
8	cdf	169	1.8431952662721893	11.043426854815552	2.4197495905877573	2.5820843834610847
8	inverse_cdf	170	2.523529411764706	12.652606219077967	3.8189080213408113	3.8117465504288033
9	cdf	181	1.4502762430939227	10.933579956118885	1.6859383049443346	1.8541427409634361
9	inverse_cdf	180	1.7583333333333333	12.792953231753017	2.8789716312654567	2.9185708070142065
10	cdf	177	1.463276836158192	11.046538715415155	1.8232434680284115	1.8655363809640821
10	inverse_cdf	182	2.0576923076923075	12.495949194892837	3.151716137846686	3.144199263880871
11	inverse_cdf	176	1.7301136363636365	12.14215548965936	2.316973997802631	2.3254398410936057
12	cdf	168	0.5625	10.308188942155645	0.8645373290209057	0.9071475440448851
13	inverse_cdf	176	1.5227272727272727	12.492446743906923	2.139721732120579	2.2751123848364863
14	cdf	181	0.5662983425414365	10.435654517357674	0.7965163562093523	0.8048540583538227
