value	mean_E	var_E	mean_error	mean_abs_error	n_sims	subject	session	condition	sd_E	variant
30.0	25.879058623313902	19.36894211751204	-4.120941376686096	4.537142716407776	1000	03	2	cdf	4.401016032407976	unsmoothed
31.0	25.303325859069822	25.814858420237854	-5.696674140930176	6.121977844238281	1000	03	2	cdf	5.080832453470381	unsmoothed
31.5	25.29692732477188	26.44202612398676	-6.203072675228119	6.454611764431	1000	03	2	cdf	5.142181066822401	unsmoothed
32.0	25.723553205490113	26.053208138206816	-6.276446794509888	6.4814501514434815	1000	03	2	cdf	5.104234334178518	unsmoothed
32.5	26.11021689224243	25.180218739361727	-6.389783107757569	6.555160053253174	1000	03	2	cdf	5.017989511683113	unsmoothed
33.0	25.87873223972321	30.09077894906044	-7.121267760276795	7.322591742515564	1000	03	2	cdf	5.485506261874144	unsmoothed
34.0	26.72268674182892	28.93867633645736	-7.277313258171081	7.409072947502136	1000	03	2	cdf	5.379468034709134	unsmoothed
36.0	29.453687232494353	30.393321532277703	-6.546312767505646	6.581391647815704	1000	03	2	cdf	5.5130138338551	unsmoothed
38.5	29.639442746162416	36.83632534015344	-8.860557253837586	8.860557253837586	1000	03	2	cdf	6.069293644251647	unsmoothed
5.5	12.42742588186264	38.34822919031866	6.92742588186264	6.92742588186264	1000	04	1	cdf	6.19259470580133	unsmoothed
8.0	16.74795029783249	33.20125563533334	8.747950297832489	8.81424472475052	1000	04	1	cdf	5.7620530746716785	unsmoothed
10.0	18.111265026569367	25.185011579642666	8.111265026569367	8.155886756420136	1000	04	1	cdf	5.018467054753141	unsmoothed
11.0	18.517386507511137	24.30978988453988	7.517386507511139	7.585016282558441	1000	04	1	cdf	4.930495906553405	unsmoothed
11.5	18.71505224990845	23.160054999688676	7.215052249908447	7.257950395584106	1000	04	1	cdf	4.812489480475638	unsmoothed
12.0	19.247373824119567	23.04501516580172	7.247373824119568	7.322303189277649	1000	04	1	cdf	4.800522384678747	unsmoothed
12.5	19.52483177280426	20.949521342149453	7.02483177280426	7.126562277793885	1000	04	1	cdf	4.577064708101629	unsmoothed
13.0	19.833715282440185	19.63366127733898	6.833715282440186	6.938984334945679	1000	04	1	cdf	4.430988747146508	unsmoothed
