subject	quantity	roi	r	n
03	value	NPCr	0.26641293356041895	368
04	value	NPCr	0.491437679727026	368
05	value	NPCr	0.0977241523404083	368
06	value	NPCr	0.5395725967171621	368
07	value	NPCr	0.0898558801835222	368
08	value	NPCr	0.3522375955517254	368
09	value	NPCr	0.3800344457604924	368
10	value	NPCr	0.3555616316342287	368
13	value	NPCr	0.24256711547859933	368
14	value	NPCr	0.2236736915804597	368
pil01	value	NPCr	0.24396009170629157	368
pil02	value	NPCr	0.4293830277908349	368
