subject	quantity	roi	r	n
03	gabor	BensonV1	0.45461909409271145	368
03	gabor	NPCr	0.08012133017339265	368
03	value	BensonV1	0.5178911220102322	368
03	value	NPCr	0.2219276161459649	368
04	gabor	BensonV1	0.5276259251740619	368
04	gabor	NPCr	0.24471920337087727	368
04	value	BensonV1	0.6931447992357549	368
04	value	NPCr	0.42610673200507915	368
05	gabor	BensonV1	0.6181506776308768	368
05	gabor	NPCr	0.14311538959056155	368
05	value	BensonV1	0.6268600373887157	368
05	value	NPCr	0.11184320122488324	368
06	gabor	BensonV1	0.8597767831697063	368
06	gabor	NPCr	0.2580363436499306	368
06	value	BensonV1	0.8640741904642677	368
06	value	NPCr	0.41403584417054706	368
07	gabor	BensonV1	0.4575875768788763	368
07	gabor	NPCr	0.058838511377712434	368
07	value	BensonV1	0.5697495470762133	368
07	value	NPCr	0.204569461726971	368
08	gabor	BensonV1	0.5236226004443958	368
08	gabor	NPCr	0.2101074801618042	368
08	value	BensonV1	0.7311177805061522	368
08	value	NPCr	0.26613904811446865	368
09	gabor	BensonV1	0.6960249843746064	368
09	gabor	NPCr	0.24012074110945097	368
09	value	BensonV1	0.6848776761778971	368
09	value	NPCr	0.3752571494548891	368
10	gabor	BensonV1	0.4188641005796483	368
10	gabor	NPCr	0.3058572902857849	368
10	value	BensonV1	0.4831529440481164	368
10	value	NPCr	0.3809900851197526	368
11	gabor	BensonV1	0.5569973509557827	368
11	gabor	NPCr	0.08175558456611444	368
11	value	BensonV1	0.7799711445734436	368
11	value	NPCr	0.20701250566885093	368
12	gabor	BensonV1	0.6627091793440395	368
12	gabor	NPCr	0.2925891652310592	368
12	value	BensonV1	0.6288914048295329	368
12	value	NPCr	0.34150759047560686	368
13	gabor	BensonV1	0.2700131425446015	368
13	gabor	NPCr	0.22123779034332655	368
13	value	BensonV1	0.11628281885410799	368
13	value	NPCr	0.3616606492210447	368
14	gabor	BensonV1	0.320348261469478	368
14	gabor	NPCr	0.15138798444134852	368
14	value	BensonV1	0.24239024583551227	368
14	value	NPCr	0.24995408118363668	368
pil01	gabor	BensonV1	0.354779178156283	368
pil01	gabor	NPCr	0.3889535857284366	368
pil01	value	BensonV1	0.24700644458668117	368
pil01	value	NPCr	0.08799383992916103	368
pil02	gabor	BensonV1	0.5312180698722678	368
pil02	gabor	NPCr	0.23578281857848743	368
pil02	value	BensonV1	0.6349198987672475	368
pil02	value	NPCr	0.28685708092727286	368
