subject	model	mean_cvr2	median_cvr2	roi
03	aprf	-0.04206330329179764	-0.04421700909733772	V1 (BensonV1)
03	vonmises	-0.04003129154443741	-0.042044010013341904	V1 (BensonV1)
04	aprf	-0.07089900225400925	-0.06100143864750862	V1 (BensonV1)
04	vonmises	-0.07144986093044281	-0.060812193900346756	V1 (BensonV1)
05	aprf	-0.050831809639930725	-0.05095478147268295	V1 (BensonV1)
05	vonmises	-0.04663563519716263	-0.05019855126738548	V1 (BensonV1)
06	aprf	-0.032524969428777695	-0.04076700657606125	V1 (BensonV1)
06	vonmises	-0.03213166072964668	-0.04626254737377167	V1 (BensonV1)
08	aprf	-0.03656052425503731	-0.0380074642598629	V1 (BensonV1)
08	vonmises	-0.04577156901359558	-0.0483299121260643	V1 (BensonV1)
09	aprf	-0.04760149493813515	-0.047436878085136414	V1 (BensonV1)
09	vonmises	-0.04561465606093407	-0.04762400686740875	V1 (BensonV1)
pil01	aprf	-0.06656210869550705	-0.04857460409402847	V1 (BensonV1)
pil01	vonmises	-0.06711987406015396	-0.05080239102244377	V1 (BensonV1)
pil02	aprf	-0.044761188328266144	-0.04356350749731064	V1 (BensonV1)
pil02	vonmises	-0.04017946869134903	-0.04337087646126747	V1 (BensonV1)
03	aprf	-0.043676380068063736	-0.04298072308301926	NPCr
03	aprf-weighted	-0.04733464494347572	-0.04677032679319382	NPCr
04	aprf	-0.0905400738120079	-0.06277599930763245	NPCr
04	aprf-weighted	-0.08065751194953918	-0.05977645143866539	NPCr
05	aprf	-0.06596111506223679	-0.05498453602194786	NPCr
05	aprf-weighted	-0.06595039367675781	-0.057803452014923096	NPCr
06	aprf	-0.11749088019132614	-0.08385095000267029	NPCr
06	aprf-weighted	-0.11625585705041885	-0.08047789335250854	NPCr
08	aprf	-0.06422118097543716	-0.055061377584934235	NPCr
08	aprf-weighted	-0.06527724862098694	-0.0560854971408844	NPCr
09	aprf	-0.058303218334913254	-0.05482166260480881	NPCr
09	aprf-weighted	-0.060606759041547775	-0.05356016755104065	NPCr
pil01	aprf	-0.05581539496779442	-0.048229388892650604	NPCr
pil01	aprf-weighted	-0.05735532194375992	-0.05127052217721939	NPCr
pil02	aprf	-0.05983171984553337	-0.05275214463472366	NPCr
pil02	aprf-weighted	-0.0630013644695282	-0.05419440567493439	NPCr
