subject	PRF	Linear	Null	PRF_minus_null	Linear_minus_null
03	-0.03967682323488758	-0.0231193705344919	-0.017699673120400414	-0.021977150114487167	-0.005419697414091484
04	-0.04942148822384912	-0.03487340505864169	-0.03299989623395172	-0.0164215919898974	-0.001873508824689972
05	-0.04711712929477229	-0.03346334626366236	-0.03020156653462773	-0.01691556276014456	-0.0032617797290346306
06	-0.03639188237211182	-0.028068463602834496	-0.028082772081117494	-0.008309110290994327	1.4308478282997611e-05
07	-0.035673464279740656	-0.02282066022239863	-0.02108091867649421	-0.014592545603246448	-0.0017397415459044219
08	-0.03916792322731195	-0.022366237306556146	-0.01714456942906959	-0.022023353798242357	-0.005221667877486555
09	-0.052734363040505265	-0.03924017681407902	-0.03694922354334908	-0.015785139497156188	-0.0022909532707299438
10	-0.03771856173944588	-0.023264306883972425	-0.02086820021414986	-0.016850361525296016	-0.002396106669822564
11	-0.03684792411683576	-0.022610735902766677	-0.019977213916824246	-0.016870710200011515	-0.0026335219859424316
12	-0.03879748002326229	-0.034039707946135554	-0.030463784425290043	-0.008333695597972247	-0.0035759235208455108
13	-0.0335522752635333	-0.02352151949794925	-0.021331380733421872	-0.012220894530111426	-0.0021901387645273766
14	-0.03911139706995023	-0.02521245741085945	-0.02298665108536105	-0.016124745984589184	-0.002225806325498403
15	-0.04145044993916617	-0.02830454567899403	-0.025672157023789235	-0.015778292915376933	-0.002632388655204796
16	-0.028813666520427116	-0.01816102550990546	-0.017530501506617214	-0.011283165013809902	-0.000630524003288245
17	-0.03796937150704394	-0.024155053298598454	-0.021095099264886154	-0.01687427224215779	-0.0030599540337123005
18	-0.034918682305471585	-0.022987852580181923	-0.020992114360420668	-0.013926567945050917	-0.0019957382197612547
19	-0.042375094508347304	-0.026928409781792888	-0.02390024125252081	-0.018474853255826495	-0.0030281685292720788
20	-0.05122491599937988	-0.03480943898465028	-0.03126065675293682	-0.01996425924644306	-0.0035487822317134612
21	-0.04013531367388068	-0.02340370508971397	-0.02043541627067128	-0.0196998974032094	-0.002968288819042691
22	-0.04373781367822284	-0.02494732025956762	-0.021167519182084576	-0.022570294496138264	-0.0037798010774830436
23	-0.04176243744354616	-0.025010131591772462	-0.0221008986105865	-0.01966153883295966	-0.0029092329811859635
24	-0.032528435811400414	-0.021135412692513983	-0.019099277704654326	-0.013429158106746088	-0.002036134987859657
pil01	-0.030046565862357547	-0.018847343418854114	-0.01671565132457271	-0.013330914537784837	-0.002131692094281403
pil02	-0.04213089568136763	-0.025721232568507564	-0.02539000272543107	-0.01674089295593656	-0.0003312298430764929
