roi	subject	session	condition	selection	smoothed	mae_residual	mae_spherical	sd_residual	sd_spherical
V1 (vonmises)	03	1	inverse_cdf	nvoxels-100	False	0.21166595233523325	0.11948061813082957	0.2859273101488438	0.1725846810150663
V1 (vonmises)	03	2	cdf	nvoxels-100	False	0.21314170632673343	0.10757490172982212	0.2892620396157092	0.15489677962523982
V1 (vonmises)	03	1	inverse_cdf	nvoxels-100	True	0.375607360964236	0.13982866321586895	0.4843144693542964	0.19001117951793323
V1 (vonmises)	03	2	cdf	nvoxels-100	True	0.3834663266720979	0.14340443058560287	0.493978596089516	0.19378212762477626
V1 (vonmises)	03	1	inverse_cdf	nvoxels-fdr05	False	0.21138686136059134	0.11939794971711101	0.2855039274000674	0.1726830969109171
V1 (vonmises)	03	2	cdf	nvoxels-fdr05	False	0.21543726713761036	0.10751224203656114	0.2921870049819675	0.1549680978040026
V1 (vonmises)	03	1	inverse_cdf	nvoxels-fdr05	True	0.37464066303294635	0.13960518907341687	0.4827718279738233	0.18935974083073653
V1 (vonmises)	03	2	cdf	nvoxels-fdr05	True	0.3835035264492035	0.1424803646591802	0.49400458960015237	0.19262146979419195
V1 (vonmises)	04	1	cdf	nvoxels-100	False	0.15035757454841028	0.1062264470590485	0.21225826536178388	0.16130398502794158
V1 (vonmises)	04	2	inverse_cdf	nvoxels-100	False	0.15446577609881107	0.10081735174689024	0.21569060271928012	0.1524658620009822
V1 (vonmises)	04	1	cdf	nvoxels-100	True	0.2498793375232945	0.11233458011928528	0.33811894641096474	0.16490900948306184
V1 (vonmises)	04	2	inverse_cdf	nvoxels-100	True	0.23724216028400086	0.10271478970017694	0.32137631305326075	0.1513116093884732
V1 (vonmises)	04	1	cdf	nvoxels-fdr05	False	0.15225079364102817	0.14439232879214814	0.21362833101466006	0.2090946892632132
V1 (vonmises)	04	2	inverse_cdf	nvoxels-fdr05	False	0.16215041441761927	0.13736482270889808	0.22583866795440785	0.19965055122717995
V1 (vonmises)	04	1	cdf	nvoxels-fdr05	True	0.24600431841352713	0.1435859502189689	0.33247466098647643	0.20097852769473487
V1 (vonmises)	04	2	inverse_cdf	nvoxels-fdr05	True	0.23682634467663968	0.13490831160710914	0.32239258763315143	0.18862469534883164
V1 (vonmises)	05	1	inverse_cdf	nvoxels-100	False	0.13582650150941764	0.0909958278553353	0.18973002463963287	0.12927112725270642
V1 (vonmises)	05	2	cdf	nvoxels-100	False	0.1256120415485423	0.0836580223921272	0.17540100441821965	0.11976434573276085
V1 (vonmises)	05	1	inverse_cdf	nvoxels-100	True	0.22908620277176728	0.07316171864254603	0.30975852377093177	0.09879534093652739
V1 (vonmises)	05	2	cdf	nvoxels-100	True	0.19559853556363474	0.06995578526208794	0.2669738678984727	0.0942602528380314
V1 (vonmises)	05	1	inverse_cdf	nvoxels-fdr05	False	0.15380271783341531	0.12199594026638398	0.21065531893080588	0.17000647810089567
V1 (vonmises)	05	2	cdf	nvoxels-fdr05	False	0.14276386279126868	0.11319691451887286	0.19672883339530106	0.1592510385339473
V1 (vonmises)	05	1	inverse_cdf	nvoxels-fdr05	True	0.28267589600189874	0.054076908176971764	0.3759858857012417	0.07195063223625021
V1 (vonmises)	05	2	cdf	nvoxels-fdr05	True	0.24397162250850513	0.051032797661092505	0.3289210065867575	0.06746147267247085
V1 (vonmises)	06	1	cdf	nvoxels-100	False	0.09574482266021808	0.05881087510950032	0.12548827875091692	0.07547380959081716
