roi	subject	session	condition	selection	smoothed	mae_residual	mae_spherical	sd_residual	sd_spherical
V1 (vonmises)	06	2	inverse_cdf	nvoxels-100	False	0.085561407972937	0.05747645145489106	0.1103675919307534	0.07368003428048879
V1 (vonmises)	06	1	cdf	nvoxels-100	True	0.19330386040003403	0.061624417992101735	0.26512226657888144	0.07850313010468808
V1 (vonmises)	06	2	inverse_cdf	nvoxels-100	True	0.17188327727110486	0.05579157231582531	0.23543960197263192	0.07086100347567756
V1 (vonmises)	06	1	cdf	nvoxels-fdr05	False	0.09716966067967203	0.047930736239585575	0.12741045548338228	0.06086883997074651
V1 (vonmises)	06	2	inverse_cdf	nvoxels-fdr05	False	0.0898941373047621	0.04657879650799761	0.11784424727683745	0.05931808851724735
V1 (vonmises)	06	1	cdf	nvoxels-fdr05	True	0.16054600218067994	0.04297722981621817	0.21983216278647905	0.05447534920578427
V1 (vonmises)	06	2	inverse_cdf	nvoxels-fdr05	True	0.14415403163951374	0.03858917475574542	0.19849949024293068	0.04862785743954255
V1 (vonmises)	07	1	inverse_cdf	nvoxels-100	False	0.1724888015052546	0.12371365957789947	0.23545716240422496	0.17181463120755452
V1 (vonmises)	07	2	cdf	nvoxels-100	False	0.16559264387773426	0.1155500855710771	0.2283858912132347	0.16010011227463392
V1 (vonmises)	07	1	inverse_cdf	nvoxels-100	True	0.26812898918338446	0.13027409650385377	0.35644616317305833	0.1722690981994827
V1 (vonmises)	07	2	cdf	nvoxels-100	True	0.23659031287483542	0.11104867979884143	0.31964226895579495	0.14728819986030053
V1 (vonmises)	07	1	inverse_cdf	nvoxels-fdr05	False	0.1695861641479575	0.12324917287462284	0.23196514241699778	0.1712821870129747
V1 (vonmises)	07	2	cdf	nvoxels-fdr05	False	0.16659530025461441	0.11506198971635763	0.22891151475363786	0.1602135399830087
V1 (vonmises)	07	1	inverse_cdf	nvoxels-fdr05	True	0.2637266102044479	0.13003729387289945	0.35145379719369335	0.1718519626729934
V1 (vonmises)	07	2	cdf	nvoxels-fdr05	True	0.2356288433074951	0.1110780119275053	0.31692452625557704	0.14739699916037782
V1 (vonmises)	08	1	cdf	nvoxels-100	False	0.202229900204617	0.11332105329881108	0.27047946437373505	0.16046347859049406
V1 (vonmises)	08	2	inverse_cdf	nvoxels-100	False	0.22240271840406498	0.11920155218491947	0.2976056738239094	0.16674971808609923
V1 (vonmises)	08	1	cdf	nvoxels-100	True	0.32988459649293317	0.09943065252155062	0.4302639009243842	0.13047154327475827
V1 (vonmises)	08	2	inverse_cdf	nvoxels-100	True	0.37692098773044086	0.11681608429385552	0.486176266003638	0.15317050669816126
V1 (vonmises)	08	1	cdf	nvoxels-fdr05	False	0.20497325062751767	0.1129697436259852	0.27685517164335566	0.15996797663901635
V1 (vonmises)	08	2	inverse_cdf	nvoxels-fdr05	False	0.22515320259591803	0.11975896056327551	0.30133043497901485	0.16749445897024154
V1 (vonmises)	08	1	cdf	nvoxels-fdr05	True	0.3299411314985026	0.09888521679159663	0.4304146411377761	0.12918984971709851
V1 (vonmises)	08	2	inverse_cdf	nvoxels-fdr05	True	0.37257061704345373	0.11567909034589922	0.4812079778749797	0.1514149357071675
V1 (vonmises)	09	1	inverse_cdf	nvoxels-100	False	0.11427253322756804	0.08613920911318722	0.1574549649030512	0.12138995639479638
V1 (vonmises)	09	2	cdf	nvoxels-100	False	0.1263822433741196	0.0982895147055387	0.17394378886498202	0.1393078179269282
V1 (vonmises)	09	1	inverse_cdf	nvoxels-100	True	0.2117198323426039	0.08181234159403374	0.28820250666470265	0.10737803505075551
V1 (vonmises)	09	2	cdf	nvoxels-100	True	0.21885126634784363	0.10143719464540478	0.29752080218877625	0.13209644010508909
V1 (vonmises)	09	1	inverse_cdf	nvoxels-fdr05	False	0.13007355610961496	0.10822726452930102	0.17618421581059826	0.1475701017122655
V1 (vonmises)	09	2	cdf	nvoxels-fdr05	False	0.14311226684114203	0.12307228048642473	0.19150043523963256	0.16792045157055788
V1 (vonmises)	09	1	inverse_cdf	nvoxels-fdr05	True	0.2055623175009437	0.07674849238246675	0.27962532934882867	0.10080449769155402
V1 (vonmises)	09	2	cdf	nvoxels-fdr05	True	0.21818942738615946	0.09597270107931558	0.2965009475034462	0.1261060913548664
V1 (vonmises)	10	1	cdf	nvoxels-100	False	0.16139936900657154	0.11263414811756872	0.2218942394209986	0.15825033474091607
V1 (vonmises)	10	2	inverse_cdf	nvoxels-100	False	0.17828883943350415	0.11601978590091065	0.2447416735472196	0.16285429057590417
V1 (vonmises)	10	1	cdf	nvoxels-100	True	0.25277009995087335	0.10809783840345008	0.33700979131569164	0.14823162353016783
V1 (vonmises)	10	2	inverse_cdf	nvoxels-100	True	0.28718362813410553	0.1159040737069315	0.3789657430025058	0.15799156635451728
V1 (vonmises)	10	1	cdf	nvoxels-fdr05	False	0.1599758578383404	0.11261593893998195	0.2196090425551361	0.15834711816605443
V1 (vonmises)	10	2	inverse_cdf	nvoxels-fdr05	False	0.17507813870906827	0.11607650816440579	0.240388403650127	0.16302894925022063
V1 (vonmises)	10	1	cdf	nvoxels-fdr05	True	0.25405012978159863	0.1081830073975854	0.33982850741046133	0.14861741218187985
V1 (vonmises)	10	2	inverse_cdf	nvoxels-fdr05	True	0.2864348136860391	0.11617338260014848	0.3790088124654803	0.15874848283359466
V1 (vonmises)	pil01	1	inverse_cdf	nvoxels-100	False	0.1760011159855386	0.1266076934834321	0.24371512591324382	0.1773383673153029
V1 (vonmises)	pil01	2	cdf	nvoxels-100	False	0.19002716437630027	0.1360252340427703	0.26219848477257673	0.1908804781833682
V1 (vonmises)	pil01	1	inverse_cdf	nvoxels-100	True	0.3563815420088561	0.11792539774129784	0.4611613942650337	0.1693852002984649
V1 (vonmises)	pil01	2	cdf	nvoxels-100	True	0.37579489920450293	0.13891516067087648	0.483817764159371	0.19836371986951468
V1 (vonmises)	pil01	1	inverse_cdf	nvoxels-fdr05	False	0.26899176512075507	0.2548961283846034	0.3329238293219808	0.30998902402005396
V1 (vonmises)	pil01	2	cdf	nvoxels-fdr05	False	0.28843455794064893	0.26999858684009975	0.36183471058786926	0.32955915025631055
V1 (vonmises)	pil01	1	inverse_cdf	nvoxels-fdr05	True	0.3669711688290472	0.20118081180585756	0.47041080498741455	0.2516430348924112
V1 (vonmises)	pil01	2	cdf	nvoxels-fdr05	True	0.39803736754085706	0.23994505579272907	0.5077963334313429	0.2964097960054297
V1 (vonmises)	pil02	1	cdf	nvoxels-100	False	0.2150395979052004	0.09667044097764621	0.2969141825305024	0.14471741098461233
V1 (vonmises)	pil02	2	inverse_cdf	nvoxels-100	False	0.21039674852205356	0.09344965523729717	0.28986329499923813	0.13946456126694173
V1 (vonmises)	pil02	1	cdf	nvoxels-100	True	0.2922748715981193	0.10561979891111449	0.3858828674677976	0.15274761354767558
V1 (vonmises)	pil02	2	inverse_cdf	nvoxels-100	True	0.2724672730850137	0.09812363961504561	0.3626813823443778	0.14367873096349057
V1 (vonmises)	pil02	1	cdf	nvoxels-fdr05	False	0.21597566164058185	0.09697851722853047	0.2964501037527644	0.14519614603584538
V1 (vonmises)	pil02	2	inverse_cdf	nvoxels-fdr05	False	0.20853842470956882	0.0939346691800488	0.28771168446684997	0.1404537493735237
V1 (vonmises)	pil02	1	cdf	nvoxels-fdr05	True	0.28708275504734204	0.06993311047554013	0.37998939784561175	0.10514529922070373
V1 (vonmises)	pil02	2	inverse_cdf	nvoxels-fdr05	True	0.2684203036453413	0.06294111114823152	0.35972405373104105	0.09374260518706434
NPCr (aprf-session-shift)	03	1	inverse_cdf	nvoxels-100	False	6.956529528576394	4.468628869906715	5.6318025631392015	5.029464204629794
NPCr (aprf-session-shift)	03	2	cdf	nvoxels-100	False	5.75156154506103	4.088272000851839	4.838751105185934	4.671154008450323
NPCr (aprf-session-shift)	03	1	inverse_cdf	nvoxels-100	True	9.038274226230124	5.869469709209773	3.735956763660067	4.840863287746329
NPCr (aprf-session-shift)	03	2	cdf	nvoxels-100	True	8.342614122991977	4.944496507105621	3.621520019295857	4.5233039520532285
NPCr (aprf-session-shift)	03	1	inverse_cdf	nvoxels-fdr05	False	6.857425028842429	4.5093016540589534	5.5924573569212095	5.078699224589633
NPCr (aprf-session-shift)	03	2	cdf	nvoxels-fdr05	False	5.794320041449174	4.0921739580734915	4.8886738396688525	4.644230137235519
NPCr (aprf-session-shift)	03	1	inverse_cdf	nvoxels-fdr05	True	9.00524579607922	5.761716499525568	3.708986691465037	4.81704506673482
NPCr (aprf-session-shift)	03	2	cdf	nvoxels-fdr05	True	8.328446685314178	4.92744224034185	3.6177443975571193	4.541865602501359
NPCr (aprf-session-shift)	04	1	cdf	nvoxels-100	False	6.67715538143075	1.5351420711227082	4.578504061282802	2.1577900752977275
NPCr (aprf-session-shift)	04	2	inverse_cdf	nvoxels-100	False	3.6591741850376125	2.595202034680739	4.854025791576203	3.4690575398939862
NPCr (aprf-session-shift)	04	1	cdf	nvoxels-100	True	8.860025071268495	1.7853516337767892	2.8751874301281144	2.419008622385347
NPCr (aprf-session-shift)	04	2	inverse_cdf	nvoxels-100	True	9.533873371207196	3.3991294884578043	3.358404273120439	3.5261270100641093
NPCr (aprf-session-shift)	04	1	cdf	nvoxels-fdr05	False	6.736318092366924	1.5600942612108977	4.599450889544286	2.1763813671679717
NPCr (aprf-session-shift)	04	2	inverse_cdf	nvoxels-fdr05	False	3.612584260484447	2.5554229256381156	4.78944839296515	3.4219910717899262
NPCr (aprf-session-shift)	04	1	cdf	nvoxels-fdr05	True	7.797467056958573	2.951953488515771	3.8107462173218387	3.6516643083913594
NPCr (aprf-session-shift)	04	2	inverse_cdf	nvoxels-fdr05	True	8.942556935113409	5.1188363814146625	4.455619081182055	4.715807317381428
NPCr (aprf-session-shift)	05	1	inverse_cdf	nvoxels-100	False	8.411015155574551	6.147838419852048	4.70480761265679	5.115882705841064
NPCr (aprf-session-shift)	05	2	cdf	nvoxels-100	False	7.770948806638303	4.316451090460237	3.7935194193724127	3.1217434297163105
NPCr (aprf-session-shift)	05	1	inverse_cdf	nvoxels-100	True	9.573660329984582	7.898429762778074	2.8877069696730415	3.9054974883994333
NPCr (aprf-session-shift)	05	2	cdf	nvoxels-100	True	9.246858239215355	4.419549622349118	1.9740413209007945	2.8955270472168295
NPCr (aprf-session-shift)	05	1	inverse_cdf	nvoxels-fdr05	False	8.47916536291786	6.1428201792654775	4.658526938371886	5.122622754293358
NPCr (aprf-session-shift)	05	2	cdf	nvoxels-fdr05	False	7.86005939651572	4.32531279180361	3.8100449023537517	3.1750266149683264
NPCr (aprf-session-shift)	05	1	inverse_cdf	nvoxels-fdr05	True	9.586007208077804	7.945910827263542	2.901499924330436	3.8817355359091046
NPCr (aprf-session-shift)	05	2	cdf	nvoxels-fdr05	True	9.235979380607604	4.369792930934739	1.969125863981407	2.875029756666467
NPCr (aprf-session-shift)	06	1	cdf	nvoxels-100	False	5.377948875987012	5.4332938121505405	4.7759087176781545	4.538387522116016
NPCr (aprf-session-shift)	06	2	inverse_cdf	nvoxels-100	False	5.617253215354423	2.336974750052328	5.68262422238694	3.3803754540664586
NPCr (aprf-session-shift)	06	1	cdf	nvoxels-100	True	8.312725283083708	4.677428785987522	3.437554745809303	4.467308411826747
NPCr (aprf-session-shift)	06	2	inverse_cdf	nvoxels-100	True	8.384654039528058	2.2457070319756216	5.088289819003081	3.262977329298629
NPCr (aprf-session-shift)	06	1	cdf	nvoxels-fdr05	False	6.421641709783802	6.275852624022443	4.6637452344795225	4.390217553774918
NPCr (aprf-session-shift)	06	2	inverse_cdf	nvoxels-fdr05	False	6.487348014416902	3.9152034478705864	5.753623202593497	4.328169389969673
NPCr (aprf-session-shift)	06	1	cdf	nvoxels-fdr05	True	8.30070043373108	4.6340881888970085	3.448143817178871	4.4149623421321555
NPCr (aprf-session-shift)	06	2	inverse_cdf	nvoxels-fdr05	True	8.450741825041565	2.212940138661344	5.083995693377489	3.2390728914794
NPCr (aprf-session-shift)	07	1	inverse_cdf	nvoxels-100	False	7.625694047471752	3.7359541674593224	5.518867443485988	4.2318920553093875
NPCr (aprf-session-shift)	07	2	cdf	nvoxels-100	False	5.847647814854332	4.244069870057314	4.726879009526478	4.526023572404951
NPCr (aprf-session-shift)	07	1	inverse_cdf	nvoxels-100	True	9.691219444440758	4.026792784815249	2.611758751292707	3.70130288361665
NPCr (aprf-session-shift)	07	2	cdf	nvoxels-100	True	8.942353070798127	5.187369630150172	2.6677343529742217	4.753927213608641
NPCr (aprf-session-shift)	07	1	inverse_cdf	nvoxels-fdr05	False	7.649724037543587	3.7764152052402506	5.506426403815265	4.271167920209642
NPCr (aprf-session-shift)	07	2	cdf	nvoxels-fdr05	False	5.8517861393845605	4.23567614667312	4.721041876000416	4.521563912358473
NPCr (aprf-session-shift)	07	1	inverse_cdf	nvoxels-fdr05	True	9.697947651199671	4.033528091368468	2.5968471748507684	3.7045320422800407
NPCr (aprf-session-shift)	07	2	cdf	nvoxels-fdr05	True	8.943251887819041	5.1863286327071805	2.6825390225597645	4.781832064538988
NPCr (aprf-session-shift)	08	1	cdf	nvoxels-100	False	5.962012456354887	3.4100907372391736	4.808508999996316	4.350691369869746
NPCr (aprf-session-shift)	08	2	inverse_cdf	nvoxels-100	False	6.934201745603396	4.122645812117535	5.5637639523239155	4.656751755113645
NPCr (aprf-session-shift)	08	1	cdf	nvoxels-100	True	8.571171648958453	3.0522647214765137	3.3168820049555943	3.9545449823328256
NPCr (aprf-session-shift)	08	2	inverse_cdf	nvoxels-100	True	9.520817446957464	4.106275586667269	3.5515310756349137	4.378431508414557
NPCr (aprf-session-shift)	08	1	cdf	nvoxels-fdr05	False	5.956155622026195	3.4414541929286453	4.778556562846521	4.336132659727188
NPCr (aprf-session-shift)	08	2	inverse_cdf	nvoxels-fdr05	False	6.831838783015376	4.197621312255444	5.600669921040369	4.661051782158737
NPCr (aprf-session-shift)	08	1	cdf	nvoxels-fdr05	True	8.591536961866463	3.0336680545806884	3.305289147933539	3.972400991983272
NPCr (aprf-session-shift)	08	2	inverse_cdf	nvoxels-fdr05	True	9.53390734212295	4.082654819799506	3.5418783339564546	4.317044522946354
NPCr (aprf-session-shift)	09	1	inverse_cdf	nvoxels-100	False	7.585511142969132	4.136613186794778	5.50622981314653	5.046612957994474
NPCr (aprf-session-shift)	09	2	cdf	nvoxels-100	False	6.072660249627155	2.5138126035151274	4.583506392592646	3.141925581314403
NPCr (aprf-session-shift)	09	1	inverse_cdf	nvoxels-100	True	9.30987258975402	4.909736757900405	3.7714442984729493	5.142084734062546
NPCr (aprf-session-shift)	09	2	cdf	nvoxels-100	True	8.56671603043183	2.6534031467645067	3.240736722823001	2.9709620928259484
NPCr (aprf-session-shift)	09	1	inverse_cdf	nvoxels-fdr05	False	7.48786895837991	4.147366696679074	5.455408389150823	5.054860067332929
NPCr (aprf-session-shift)	09	2	cdf	nvoxels-fdr05	False	6.107358456279921	2.554150148744169	4.5381344637981105	3.174572032384788
NPCr (aprf-session-shift)	09	1	inverse_cdf	nvoxels-fdr05	True	8.878077608502428	8.326443786994274	4.5216402642040165	5.065211765265016
NPCr (aprf-session-shift)	09	2	cdf	nvoxels-fdr05	True	8.528926369957302	5.933056126636008	3.0832257008159254	4.135594866367718
NPCr (aprf-session-shift)	10	1	cdf	nvoxels-100	False	6.010426559323849	3.393196086696957	4.800491311541479	4.0724632887742755
NPCr (aprf-session-shift)	10	2	inverse_cdf	nvoxels-100	False	6.718192834045576	2.918136498814044	5.856006675731765	4.09896471757798
NPCr (aprf-session-shift)	10	1	cdf	nvoxels-100	True	8.754626573168713	3.937869600980178	3.0371634379908765	4.220085577981143
NPCr (aprf-session-shift)	10	2	inverse_cdf	nvoxels-100	True	9.560002566503444	4.373896046109821	3.3172402660420524	4.616727443917236
NPCr (aprf-session-shift)	10	1	cdf	nvoxels-fdr05	False	6.014239689329394	3.3930921776813014	4.774930772763853	4.131885802787354
NPCr (aprf-session-shift)	10	2	inverse_cdf	nvoxels-fdr05	False	6.706865673345068	2.9208591903810914	5.787943928789344	4.129337395937587
NPCr (aprf-session-shift)	10	1	cdf	nvoxels-fdr05	True	8.745198644057565	3.9476724588145378	3.0563166631407803	4.192756930880597
NPCr (aprf-session-shift)	10	2	inverse_cdf	nvoxels-fdr05	True	9.545149516769076	4.395269325090491	3.306869798925934	4.616873330558875
NPCr (aprf-session-shift)	pil01	1	inverse_cdf	nvoxels-100	False	5.203174637618273	3.756242479853008	5.233144618380806	4.359778084810394
NPCr (aprf-session-shift)	pil01	2	cdf	nvoxels-100	False	4.73035663237779	4.566169239852739	4.541720666110452	4.138749273026722
NPCr (aprf-session-shift)	pil01	1	inverse_cdf	nvoxels-100	True	9.655835788851201	4.063454863869624	2.748798224894254	4.345162364664073
NPCr (aprf-session-shift)	pil01	2	cdf	nvoxels-100	True	9.20641278785208	4.751484480277353	1.9392646272901757	3.537709133386978
NPCr (aprf-session-shift)	pil01	1	inverse_cdf	nvoxels-fdr05	False	5.080534165175064	3.7445673631585157	5.156794452681034	4.372870141817684
NPCr (aprf-session-shift)	pil01	2	cdf	nvoxels-fdr05	False	4.6586720597018365	4.539504530015199	4.566591775621562	4.166950300452591
NPCr (aprf-session-shift)	pil01	1	inverse_cdf	nvoxels-fdr05	True	9.593584069169086	3.5745994422850393	2.846657378344534	4.143927119755711
NPCr (aprf-session-shift)	pil01	2	cdf	nvoxels-fdr05	True	8.945159975010416	4.270596208447995	2.429753534798929	3.5423515581367377
NPCr (aprf-session-shift)	pil02	1	cdf	nvoxels-100	False	7.5113882911308965	4.017284560929174	4.271367217753825	4.573509315572108
NPCr (aprf-session-shift)	pil02	2	inverse_cdf	nvoxels-100	False	7.4444905363269465	2.8374926793471626	5.560381280226531	3.857939088198118
NPCr (aprf-session-shift)	pil02	1	cdf	nvoxels-100	True	9.23296096399556	4.560569235324859	2.040295399924341	4.497688703218495
NPCr (aprf-session-shift)	pil02	2	inverse_cdf	nvoxels-100	True	8.965566153236058	3.298448988665705	4.578483652101452	3.8944383874853323
NPCr (aprf-session-shift)	pil02	1	cdf	nvoxels-fdr05	False	7.506840707467951	3.9935773160768595	4.280175095647813	4.562970511749235
NPCr (aprf-session-shift)	pil02	2	inverse_cdf	nvoxels-fdr05	False	7.519224446400352	2.8811031857469804	5.600043519468529	3.8617460012002724
NPCr (aprf-session-shift)	pil02	1	cdf	nvoxels-fdr05	True	9.223002790948618	4.590175921999889	2.02728640932725	4.542400842433659
NPCr (aprf-session-shift)	pil02	2	inverse_cdf	nvoxels-fdr05	True	8.97344320456878	3.2883007947569305	4.571207670944782	3.9249980105026414
