subject	quantity	roi	r	n
03	gabor	BensonV1	0.5849760029828984	368
03	gabor	NPCr	0.1650546152761189	368
03	value	BensonV1	0.6521578470046969	368
03	value	NPCr	0.2919700234245656	368
04	gabor	BensonV1	0.6822949059867303	368
04	gabor	NPCr	0.3616169589945601	368
04	value	BensonV1	0.759025545735734	368
04	value	NPCr	0.4613387788532259	368
05	gabor	BensonV1	0.7404817759946599	368
05	gabor	NPCr	0.11130637155651908	368
05	value	BensonV1	0.6259515593000541	368
05	value	NPCr	0.11286351477382395	368
06	gabor	BensonV1	0.8943997893596553	368
06	gabor	NPCr	0.44095844317397104	368
06	value	BensonV1	0.9261157163202665	368
06	value	NPCr	0.4189001601011406	368
07	gabor	BensonV1	0.6396973310974269	368
07	gabor	NPCr	0.08594204693835393	368
07	value	BensonV1	0.5559702023901658	368
07	value	NPCr	0.1868387210992971	368
08	gabor	BensonV1	0.5873764169480186	368
08	gabor	NPCr	0.2624993162143134	368
08	value	BensonV1	0.6675878801456383	368
08	value	NPCr	0.30837840698686964	368
09	gabor	BensonV1	0.7723997308334417	368
09	gabor	NPCr	0.34827924803102706	368
09	value	BensonV1	0.7679059554485975	368
09	value	NPCr	0.30777316278265165	368
10	gabor	BensonV1	0.5803746932962933	368
10	gabor	NPCr	0.3909541297289065	368
10	value	BensonV1	0.6369248879334262	368
10	value	NPCr	0.44335004867462713	368
13	gabor	BensonV1	0.34617143800552336	368
13	gabor	NPCr	0.3149490525765894	368
13	value	BensonV1	0.28938748500999545	368
13	value	NPCr	0.3289141159773762	368
14	gabor	BensonV1	0.5513951010497017	368
14	gabor	NPCr	0.20252691069811163	368
14	value	BensonV1	0.2960393296990083	368
14	value	NPCr	0.23513482986988166	368
pil01	gabor	BensonV1	0.5080531181195344	368
pil01	gabor	NPCr	0.4288346495160107	368
pil01	value	BensonV1	0.3637313643141674	368
pil01	value	NPCr	0.23998596443881096	368
pil02	gabor	BensonV1	0.5482696180608084	368
pil02	gabor	NPCr	0.3069423181365089	368
pil02	value	BensonV1	0.6557223498217825	368
pil02	value	NPCr	0.37449564313394035	368
